"sales__|","sales__|__datetime","sales__|__burger","sales__|__species","burger_sales__Krusty Combo","burger_sales__Krusty Deluxe","burger_sales__Krabby Pattie","species_sales__leatherback turtle","species_sales__salmon","species_sales__seahorse","species_sales__coral","species_sales__giant clam","species_sales__gray whale","species_sales__sea lion","burger_by_species__|","burger_by_species__|__leatherback turtle","burger_by_species__|__salmon","burger_by_species__|__seahorse","burger_by_species__|__coral","burger_by_species__|__giant clam","burger_by_species__|__gray whale","burger_by_species__|__sea lion"
"HIXkgCYttG","2019-04-06 17:14:34","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"DuaRTVFs0q","2019-04-06 17:15:56","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"JmssEC1KS7","2019-04-06 17:19:27","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"mVUPtTjWMX","2019-04-06 17:21:12","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"gFcsAgINTQ","2019-04-06 17:22:14","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"ndLRbGP211","2019-04-06 17:23:22","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"vXUR1vz38S","2019-04-06 17:26:02","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"yz1SvQiPfh","2019-04-06 17:28:47","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"hsl7RsY8Iu","2019-04-06 17:31:01","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"xXTnxIo3Mf","2019-04-06 17:32:24","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"rfzJ2NxPtB","2019-04-06 17:33:45","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"AZ0AQBahw0","2019-04-06 17:34:47","Krabby Pattie","coral","","","","","","","","","","","","","","","","","",""
"RBgcyhoVtM","2019-04-06 17:37:29","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"RmIOmDXEsp","2019-04-06 17:39:47","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"PhtvTDv7Gl","2019-04-06 17:41:32","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"tm5l5Jkdic","2019-04-06 17:43:34","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"bNYFsDjTMq","2019-04-06 17:45:01","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"vbaZI6DvFW","2019-04-06 17:46:27","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"hXTiq0GsFX","2019-04-06 17:47:30","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"z2VwGJOylS","2019-04-06 17:49:52","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"cvFeHX3liY","2019-04-06 17:51:48","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"26eGvspXNz","2019-04-06 17:54:07","Krabby Pattie","coral","","","","","","","","","","","","","","","","","",""
"4XwbAWGrWd","2019-04-06 17:56:53","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"JqM46JmOru","2019-04-06 17:59:12","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"pw7DuBn8ux","2019-04-07 08:00:51","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"Z0iWhdhEQL","2019-04-07 08:03:25","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"r7cjl6kG9g","2019-04-07 08:05:04","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"zG2RkOEoUO","2019-04-07 08:07:23","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"chqb6pd2pK","2019-04-07 08:09:33","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"KCCv4mGozx","2019-04-07 08:11:04","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"wFElVxiWHp","2019-04-07 08:12:05","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"0yMhHGuJF0","2019-04-07 08:13:24","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"i2YZ3WfIyu","2019-04-07 08:15:04","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"END89F4NTu","2019-04-07 08:16:17","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"T2YF8TOWIX","2019-04-07 08:18:27","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"9mHz2llxhb","2019-04-07 08:20:06","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"3gAb8HhVLJ","2019-04-07 08:22:19","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"Z5Cw6xrjV3","2019-04-07 08:24:22","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"TQMICXdhLo","2019-04-07 08:25:42","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"ga3FqaeQfL","2019-04-07 08:27:42","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"AE0bdxgSq7","2019-04-07 08:30:47","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"hJWlnC0oY1","2019-04-07 08:32:38","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"luBPotIZT0","2019-04-07 08:34:43","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"FBypy6rbfL","2019-04-07 08:36:14","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"o9Z3GJ0yHB","2019-04-07 08:37:50","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"Srb6k09hCD","2019-04-07 08:39:20","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"7wYdEQtA7W","2019-04-07 08:40:46","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"gqiirjm9IG","2019-04-07 08:42:04","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"PGqHnJT08n","2019-04-07 08:43:51","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"rZiWrg0qKN","2019-04-07 08:45:54","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"RrEz0258Au","2019-04-07 08:48:04","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"qWIDcw0raT","2019-04-07 08:49:18","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"IXkfthqebL","2019-04-07 08:52:27","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"D4AjNxFCZR","2019-04-07 08:53:52","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"3QLTRdO3u9","2019-04-07 08:55:17","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"PTjEsF5wED","2019-04-07 08:56:27","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"RPJ6vi0oSL","2019-04-07 08:57:55","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"E5RfQbW37P","2019-04-07 08:59:12","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"KjP0kyoY3r","2019-04-07 09:01:21","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"eQqmWRcmnO","2019-04-07 09:03:34","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"lS9N6TbFID","2019-04-07 09:06:28","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"vHCsAZrJUB","2019-04-07 09:07:37","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"SN8wPSmuvs","2019-04-07 09:08:57","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"MCTQ6baPhs","2019-04-07 09:10:19","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"AGz6xBkOh4","2019-04-07 09:11:54","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"KFCtG0MClo","2019-04-07 09:13:21","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"OVZ0FwRix4","2019-04-07 09:15:20","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"m3uwJPcMkI","2019-04-07 09:17:29","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"VjLUFTWEm7","2019-04-07 09:18:48","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"icZqf9VZZH","2019-04-07 09:19:59","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"elyv159i4K","2019-04-07 09:22:30","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"MbR8huQAgF","2019-04-07 09:25:19","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"ZpI97ypkoQ","2019-04-07 09:28:08","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"hk3DYZkB1b","2019-04-07 09:29:49","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"9tYcoHdcQb","2019-04-07 09:31:10","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"ilqtjm0F8v","2019-04-07 09:32:21","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"cM2X5JUDiZ","2019-04-07 09:34:01","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"PhUvOblSOh","2019-04-07 09:35:33","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"43REwLLYF8","2019-04-07 09:38:15","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"xLm2uOYeM3","2019-04-07 09:39:28","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"tWsoK9XSVH","2019-04-07 09:40:38","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"bXJtef948g","2019-04-07 09:42:03","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"NVkB3vUmHY","2019-04-07 09:43:28","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"fs2g3yxw5E","2019-04-07 09:44:54","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"tUtivVUcs9","2019-04-07 09:46:11","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"Rv8ZRtiGEl","2019-04-07 09:48:05","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"meq55q9m4U","2019-04-07 09:49:42","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"u6qBiXnKwm","2019-04-07 09:51:06","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"nI5OPK9usF","2019-04-07 09:52:07","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"gxlIzvEFQX","2019-04-07 09:55:09","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"6649uZfPsW","2019-04-07 09:56:35","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"bfhJbhG8tq","2019-04-07 09:57:42","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"gXaQs9vYjh","2019-04-07 09:59:23","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"aSiJro3ngq","2019-04-07 10:02:43","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"PnOfNpk7sa","2019-04-07 10:03:45","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"Zb11LPsLAA","2019-04-07 10:05:04","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"EdAihlAwEc","2019-04-07 10:06:56","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"G7S6Ju3NRS","2019-04-07 10:09:39","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"DkcjHucaEB","2019-04-07 10:11:12","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"pKHixsZgC4","2019-04-07 10:13:23","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"sgBWaUDxKO","2019-04-07 10:14:53","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"nuDBg0FP54","2019-04-07 10:15:59","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"G54ovNpvhn","2019-04-07 10:17:21","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"fr6esuejUe","2019-04-07 10:18:26","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"geVrVu0qxT","2019-04-07 10:20:14","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"J3dM9ySQuC","2019-04-07 10:21:22","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"gsJwWlErjG","2019-04-07 10:22:45","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"gujyblt5li","2019-04-07 10:24:07","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"9fkUKijDHM","2019-04-07 10:27:35","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"XQyD29UhC8","2019-04-07 10:28:37","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"xTBE13t0CU","2019-04-07 10:29:39","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"U9GzEUU5UX","2019-04-07 10:30:56","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"CMk2ADQhDc","2019-04-07 10:32:14","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"SPB4sSqMOf","2019-04-07 10:34:39","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"sVJ94ZCIfu","2019-04-07 10:35:47","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"VqLyh45gFt","2019-04-07 10:36:55","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"VMC7vWJyjC","2019-04-07 10:38:02","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"C1MY8ktJhM","2019-04-07 10:39:34","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"dXQugKCwJh","2019-04-07 10:42:14","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"ZfALtDZ3Wk","2019-04-07 10:43:57","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"pikU29UCK3","2019-04-07 10:44:58","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"JuzNSCi2u3","2019-04-07 10:47:40","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"RYLmJ5yB5p","2019-04-07 10:49:04","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"ZMyDyVSEqR","2019-04-07 10:50:22","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"yG6NJ0DtaX","2019-04-07 10:52:19","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"2ZehK4sOqr","2019-04-07 10:53:47","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"OXpbFHC0je","2019-04-07 10:55:15","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"69QS8IoRLl","2019-04-07 10:57:45","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"pCu7rci07t","2019-04-07 10:58:47","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"RSGsRDmlVN","2019-04-07 11:01:59","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"BnvC9rc6K8","2019-04-07 11:03:20","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"SnvpKkOTTn","2019-04-07 11:04:29","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"WBmL0enKaJ","2019-04-07 11:05:34","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"DSMC3Th9D1","2019-04-07 11:06:50","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"HEQWogCmA9","2019-04-07 11:08:26","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"DRgftYDEr2","2019-04-07 11:09:52","Krusty Combo","leatherback turtle","","","","","","","","","","","","","","","","","",""
"xaXgNJEhCS","2019-04-07 11:12:30","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"MKbZVwIaF5","2019-04-07 11:13:40","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"zPkgyrC2Nc","2019-04-07 11:14:49","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"9pH274nIn4","2019-04-07 11:16:35","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"fxNjNu2TNK","2019-04-07 11:17:50","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"jbPb16UPrz","2019-04-07 11:20:05","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"OtnhdErxhg","2019-04-07 11:22:18","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"Y5zT8x0xfu","2019-04-07 11:23:35","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"kqNgjAZe8x","2019-04-07 11:25:01","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"g5gAFhytmO","2019-04-07 11:26:04","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"Bv1K8jUR0K","2019-04-07 11:27:09","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"LYFdoGUhze","2019-04-07 11:28:18","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"Ni9qGUSYYa","2019-04-07 11:30:55","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"4HDLdCPdzO","2019-04-07 11:34:16","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"l2uaYrFK4v","2019-04-07 11:35:25","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"KHRlnT92gt","2019-04-07 11:37:19","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"FDReJejo4x","2019-04-07 11:38:29","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"eZ15Bv8UPn","2019-04-07 11:41:24","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"XN0IWtsSjY","2019-04-07 11:43:31","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"wj2NdYgSkR","2019-04-07 11:45:57","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"ROoDM3voRU","2019-04-07 11:48:07","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"XmMacYfEnR","2019-04-07 11:49:29","Krusty Combo","coral","","","","","","","","","","","","","","","","","",""
"vvyepGJS5t","2019-04-07 11:51:01","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"ZbXS5dUdBt","2019-04-07 11:53:20","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"4RfMPBu6Aj","2019-04-07 11:55:40","Krusty Combo","coral","","","","","","","","","","","","","","","","","",""
"xCHvXwhTqm","2019-04-07 11:57:14","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"v6XanVsxbA","2019-04-07 11:58:24","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"pzYNjyi19v","2019-04-07 12:00:17","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"LaeiXp7Xhd","2019-04-07 12:01:59","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"ej0s4b5lj3","2019-04-07 12:03:18","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"3zGusitF9l","2019-04-07 12:05:37","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"IIQIV5NOfS","2019-04-07 12:06:55","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"PYh6cOtMRV","2019-04-07 12:08:19","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"NpYFTQOvcO","2019-04-07 12:09:26","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"WUpBUlOhpJ","2019-04-07 12:12:01","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"qJe3Ih3Lj9","2019-04-07 12:13:18","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"yneccDieXl","2019-04-07 12:15:39","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"hPHxi6m8OK","2019-04-07 12:17:29","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"cGDB1fjSvO","2019-04-07 12:18:46","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"wpUVSQumEA","2019-04-07 12:20:23","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"zP1JL62EjZ","2019-04-07 12:21:54","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"Gx6LtsnhPl","2019-04-07 12:23:54","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"ouoG6o4BFK","2019-04-07 12:25:31","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"FKv4UwgcNH","2019-04-07 12:28:43","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"JJ8ZFKd5zv","2019-04-07 12:29:58","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"Cx1MEVdm6P","2019-04-07 12:31:36","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"uAv8vWZFTU","2019-04-07 12:32:54","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"Fcj4c3lkmi","2019-04-07 12:34:01","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"aNu6SMU1ZL","2019-04-07 12:35:35","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"Y5iZHDjAru","2019-04-07 12:38:03","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"950gwIm5xC","2019-04-07 12:40:08","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"zBnyiYbD01","2019-04-07 12:41:09","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"0wf62fZFhl","2019-04-07 12:42:44","Krusty Combo","coral","","","","","","","","","","","","","","","","","",""
"huF1DFBgDt","2019-04-07 12:43:54","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"bfXH1TCSeq","2019-04-07 12:45:04","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"2CGj8qZOgz","2019-04-07 12:47:12","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"94RlgYrj24","2019-04-07 12:49:22","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"1ILxHTesiZ","2019-04-07 12:52:47","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"Na6yyzCQ78","2019-04-07 12:54:25","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"NNGlyfKY6g","2019-04-07 12:56:20","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"4Owb5m6kVs","2019-04-07 12:57:54","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"MCqBpt4y74","2019-04-07 12:59:48","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"bS6apSj867","2019-04-07 13:02:35","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"4bN8ykV2GB","2019-04-07 13:04:18","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"mInnyVCr3n","2019-04-07 13:06:23","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"LIfgm8PWgt","2019-04-07 13:08:20","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"fopO18lXyo","2019-04-07 13:10:07","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"AfZP1k9PyU","2019-04-07 13:11:36","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"EDs6TgPia7","2019-04-07 13:13:14","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"hSJsJRqmKM","2019-04-07 13:16:06","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"vnhGcwW2yY","2019-04-07 13:17:18","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"KDM0Ew1a08","2019-04-07 13:18:45","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"ocYi7Mu2bP","2019-04-07 13:19:59","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"hYDdJTel13","2019-04-07 13:22:01","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"C7pU23YCKB","2019-04-07 13:23:55","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"h1VrTJvma8","2019-04-07 13:25:03","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"XZoxmIYKz2","2019-04-07 13:28:20","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"k6Yzeyuc7W","2019-04-07 13:29:50","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"NvBWNx5WRe","2019-04-07 13:32:31","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"VnBQgNCUGP","2019-04-07 13:34:22","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"sLTetcvkJz","2019-04-07 13:36:56","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"EHit2ZmcC6","2019-04-07 13:38:51","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"kxckfdks4v","2019-04-07 13:41:36","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"VyEEMAzORn","2019-04-07 13:42:54","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"RKAH69NOJV","2019-04-07 13:44:10","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"y30epltanv","2019-04-07 13:46:31","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"uYEysdc06c","2019-04-07 13:49:05","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"vS3zFpg3kZ","2019-04-07 13:50:19","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"Pd3tjogUlD","2019-04-07 13:51:28","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"DmWS4oHc90","2019-04-07 13:52:39","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"EZrnRJqeOZ","2019-04-07 13:54:26","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"eKHcHOJXl8","2019-04-07 13:56:53","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"MclFMPDMFB","2019-04-07 13:58:19","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"PFsWuikhiI","2019-04-07 13:59:38","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"bCTEsbOVH2","2019-04-07 14:01:21","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"2jTcElXIsh","2019-04-07 14:02:40","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"ibEes8Oyq6","2019-04-07 14:04:34","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"SSlv1eJSo0","2019-04-07 14:09:20","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"Ook8ZPUlMf","2019-04-07 14:10:39","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"qHOwFl7LEz","2019-04-07 14:12:05","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"yobKiHpECQ","2019-04-07 14:13:09","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
